t	s	v	ve	vh	zmixreal	zmix	zhm	qin	qhin	qout	qhout	srf	iin	temp	temph	pin	phin	nin	nhin	pomin	pomhin	xin1	xhin1	xin2	xhin2	zin	zhin	oin	ohin	ae	ah
26	165.08	27281200.0000001	27281200.0000001	0	11.08	5.8999134948097	0	176256	0	176256	0	1	219	1.30588235294118	1.30588235294118	240.796606989358	240.796606989358	17.486949488823	17.486949488823	48.33375	48.33375	0	0	0	0	0	0	13.8561475866033	13.8561475866033	0	0
27	165.08	27281200.0000001	27281200.0000001	0	11.08	5.8999134948097	0	158976	0	158976	0	1	273.5	1.35117647058824	1.35117647058824	266.970151227331	266.970151227331	19.3877048680429	19.3877048680429	48.33375	48.33375	0	0	0	0	0	0	13.8423472200386	13.8423472200386	0	0
28	165.08	27281200.0000001	27281200.0000001	0	11.08	5.8999134948097	0	163296	0	163296	0	1.02717391304348	66.5	1.39647058823529	1.39647058823529	259.90744881391	259.90744881391	18.8748026228566	18.8748026228566	48.33375	48.33375	0	0	0	0	0	0	13.8285605982841	13.8285605982841	0	0
29	165.08	27281200.0000001	27281200.0000001	0	11.08	5.8999134948097	0	177120	0	177120	0	1.08465608465608	100	1.44176470588235	1.44176470588235	239.621989394288	239.621989394288	17.4016472961946	17.4016472961946	48.33375	48.33375	0	0	0	0	0	0	13.8147877076501	13.8147877076501	0	0
30	165.07	27234800	27234800	0	11.07	5.89370266176152	0	190944	0	237344.000000093	0	1.0780487804878	112	1.48705882352941	1.48705882352941	222.273791067099	222.273791067099	16.1417995281444	16.1417995281444	48.33375	48.33375	0	0	0	0	0	0	13.8010285344609	13.8010285344609	0	0
31	165.08	27281200.0000001	27281200.0000001	0	11.08	5.8999134948097	0	205632	0	159231.999999907	0	1.07692307692308	44	1.53235294117647	1.53235294117647	206.397091705164	206.397091705164	14.9888138475626	14.9888138475626	48.33375	48.33375	0	0	0	0	0	0	13.7872830650543	13.7872830650543	0	0
32	165.08	27281200.0000001	27281200.0000001	0	11.08	5.8999134948097	0	198720	0	198720	0	1	461	1.57764705882353	1.57764705882353	213.576120981865	213.576120981865	15.5101638944344	15.5101638944344	49.1375	49.1375	0	0	0	0	0	0	13.7735512857817	13.7735512857817	0	0
33	165.08	27281200.0000001	27281200.0000001	0	11.08	5.8999134948097	0	197856	0	197856	0	1	411.5	1.62294117647059	1.62294117647059	214.50876779838	214.50876779838	15.5778938677725	15.5778938677725	49.1375	49.1375	0	0	0	0	0	0	13.7598331830079	13.7598331830079	0	0
34	165.08	27281200.0000001	27281200.0000001	0	11.08	5.8999134948097	0	217728	0	217728	0	1.10043668122271	315.5	1.66823529411765	1.66823529411765	194.930586610432	194.930586610432	14.1561019671425	14.1561019671425	49.1375	49.1375	0	0	0	0	0	0	13.7461287431117	13.7461287431117	0	0
35	165.07	27234800	27234800	0	11.07	5.89370266176152	0	251424	0	297824.000000093	0	1.1547619047619	212.5	1.71352941176471	1.71352941176471	168.805868817282	168.805868817282	12.2588924251543	12.2588924251543	49.1375	49.1375	0	0	0	0	0	0	13.732437952485	13.732437952485	0	0
36	165.07	27234800	27234800	0	11.07	5.89370266176152	0	350784	0	350784	0	1.39518900343643	68	1.75882352941176	1.75882352941176	120.991398585786	120.991398585786	8.78654604857119	8.78654604857119	49.1375	49.1375	0	0	0	0	0	0	13.7187607975336	13.7187607975336	0	0
37	165.09	27327600	27327600	0	11.09	5.90611627404366	0	269568	0	176767.999999944	0	1.25567010309278	328.5	1.80411764705882	1.80411764705882	157.443935339195	157.443935339195	11.4337746657689	11.4337746657689	49.1375	49.1375	0	0	0	0	0	0	13.7050972646768	13.7050972646768	0	0
38	165.09	27327600	27327600	0	11.09	5.90611627404366	0	165888	0	165888	0	1.13010309278351	417.5	1.84941176470588	1.84941176470588	255.846394926192	255.846394926192	18.5798838318745	18.5798838318745	49.1375	49.1375	0	0	0	0	0	0	13.6914473403472	13.6914473403472	0	0
39	165.1	27374000	27374000	0	11.1	5.91231101511879	0	146016	0	99616.000000041	0	1.01709278350515	190.5	1.89470588235294	1.89470588235294	290.665726780053	290.665726780053	21.1085070752657	21.1085070752657	49.1375	49.1375	0	0	0	0	0	0	13.6778110109911	13.6778110109911	0	0
40	165.1	27374000	27374000	0	11.1	5.91231101511879	0	176256	0	176256	0	1.20710059171598	290	1.94	1.94	240.796606989358	240.796606989358	17.486949488823	17.486949488823	49.1375	49.1375	0	0	0	0	0	0	13.6641882630682	13.6641882630682	0	0
41	165.12	27466800.0000001	27466800.0000001	0	11.12	5.9246764452114	0	238464	0	145663.999999948	0	1.35294117647059	326.5	1.98529411764706	1.98529411764706	177.980100818221	177.980100818221	12.9251365786953	12.9251365786953	49.1375	49.1375	0	0	0	0	0	0	13.6505790830519	13.6505790830519	0	0
42	165.16	27652400	27652400	0	11.16	5.94931153184166	0	430272	0	244672.000000026	0	1.80434782608696	472.5	2.03058823529412	2.03058823529412	98.6395739474477	98.6395739474477	7.16332870626486	7.16332870626486	49.1375	49.1375	0	0	0	0	0	0	13.6369834574288	13.6369834574288	0	0
43	165.23	27977200	27977200	0	11.23	5.99211822660098	0	574560	0	249760.000000034	0	1.62391304347826	59	2.07588235294118	2.07588235294118	73.8684328207954	73.8684328207954	5.36441758754872	5.36441758754872	49.1375	49.1375	0	0	0	0	0	0	13.623401372699	13.623401372699	0	0
44	165.39	28719599.9999999	28719599.9999999	0	11.39	6.08853084587661	0	1370304	0	627904.000000078	0	2.38496240601504	198	2.12117647058824	2.12117647058824	30.9725774437761	30.9725774437761	2.24926714736438	2.24926714736438	49.1375	49.1375	0	0	0	0	0	0	13.6098328153763	13.6098328153763	0	0
45	165.64	29879599.9999999	29879599.9999999	0	11.64	6.23530884808013	0	1246400.00000003	0	86400	0	2.14646616541353	402	2.16647058823529	2.16647058823529	44.135227157079	44.135227157079	3.20515516237188	3.20515516237188	49.1375	49.1375	0	0	0	0	0	0	13.5962777719876	13.5962777719876	0	0
46	165.81	30668400	30668400	0	11.81	6.33252116456741	0	875200.000000011	0	86400	0	1.93181954887218	116.5	2.21176470588235	2.21176470588235	78.5960125213263	78.5960125213263	5.70774031315184	5.70774031315184	49.1375	49.1375	0	0	0	0	0	0	13.5827362290735	13.5827362290735	0	0
47	165.88	30993199.9999999	30993199.9999999	0	11.88	6.3719572368421	0	411199.999999989	0	86400	0	1.73863759398496	180	2.25705882352941	2.25705882352941	107.020714217492	107.020714217492	7.77197755058802	7.77197755058802	49.1375	49.1375	0	0	0	0	0	0	13.5692081731878	13.5692081731878	0	0
48	165.92	31178799.9999999	31178799.9999999	0	11.92	6.3943396226415	0	333504	0	147904.000000026	0	1.56477383458647	367	2.30235294117647	2.30235294117647	127.260382968469	127.260382968469	9.24180750186503	9.24180750186503	49.1375	49.1375	0	0	0	0	0	0	13.5556935908977	13.5556935908977	0	0
49	165.92	31178799.9999999	31178799.9999999	0	11.92	6.3943396226415	0	354240	0	354240	0	1.40829645112782	120.5	2.34764705882353	2.34764705882353	119.810994697144	119.810994697144	8.70082364809732	8.70082364809732	49.1375	49.1375	0	0	0	0	0	0	13.542192468784	13.542192468784	0	0
50	165.96	31364400	31364400	0	11.96	6.41661211129296	0	658368	0	472767.999999896	0	1.85853658536585	252.5	2.39294117647059	2.39294117647059	64.4652333672296	64.4652333672296	4.68154553244082	4.68154553244082	49.1375	49.1375	0	0	0	0	0	0	13.5287047934405	13.5287047934405	0	0
51	166.03	31712960	31712960	0	12.03	6.46016704013037	0	672192	0	323632.000000011	0	1.67268292682927	348	2.43823529411765	2.43823529411765	63.1394702131477	63.1394702131477	4.58526696107957	4.58526696107957	49.1375	49.1375	0	0	0	0	0	0	13.5152305514748	13.5152305514748	0	0
52	166.11	32147520.0000001	32147520.0000001	0	12.11	6.51682951550782	0	603936	0	169375.999999907	0	1.50541463414634	137.5	2.48352941176471	2.48352941176471	70.2754046149198	70.2754046149198	5.10348740446338	5.10348740446338	49.1375	49.1375	0	0	0	0	0	0	13.5017697295075	13.5017697295075	0	0
53	166.17	32473440	32473440	0	12.17	6.55896586548172	0	631584	0	305664.000000123	0	1.35487317073171	353.5	2.52882352941176	2.52882352941176	67.1990531133091	67.1990531133091	4.88007892711341	4.88007892711341	49.1375	49.1375	0	0	0	0	0	0	13.4883223141725	13.4883223141725	0	0
54	166.24	32853560.0000001	32853560.0000001	0	12.24	6.60771520514884	0	514080	0	133959.999999892	0	1.21938585365854	511.5	2.57411764705882	2.57411764705882	82.5588366820654	82.5588366820654	5.99552553902504	5.99552553902504	49.1375	49.1375	0	0	0	0	0	0	13.4748882921174	13.4748882921174	0	0
55	166.27	33016430.0000001	33016430.0000001	0	12.27	6.62847420196749	0	453600	0	290730.000000007	0	1.09744726829268	249	2.61941176470588	2.61941176470588	93.5666815730075	93.5666815730075	6.79492894422838	6.79492894422838	49.1375	49.1375	0	0	0	0	0	0	13.4614676500026	13.4614676500026	0	0
56	166.28	33070720	33070720	0	12.28	6.6353772070626	0	514080	0	459790.000000056	0	1.13333333333333	138	2.66470588235294	2.66470588235294	82.5588366820654	82.5588366820654	5.99552553902504	5.99552553902504	49.1375	49.1375	0	0	0	0	0	0	13.4480603745021	13.4480603745021	0	0
57	166.33	33342170.0000001	33342170.0000001	0	12.33	6.66976795359073	0	758592	0	487141.999999959	0	1.47563025210084	343	2.71	2.71	29.597902380245	29.597902380245	2.77027242233667	2.77027242233667	49.1375	49.1375	0	0	0	0	0	0	13.4346664523032	13.4346664523032	0	0
58	166.38	33613620	33613620	0	12.38	6.70395293179098	0	552096	0	280646.000000115	0	1.32806722689076	231.5	2.9475	2.9475	40.6681663378014	40.6681663378014	3.80641500283505	3.80641500283505	49.1375	49.1375	0	0	0	0	0	0	13.3646533885024	13.3646533885024	0	0
59	166.39	33667909.9999999	33667909.9999999	0	12.39	6.71076539764799	0	453600	0	399310.000000052	0	1.19526050420168	593.5	3.185	3.185	49.4989681711525	49.4989681711525	4.63295083202209	4.63295083202209	49.1375	49.1375	0	0	0	0	0	0	13.2950051889221	13.2950051889221	0	0
60	166.39	33667909.9999999	33667909.9999999	0	12.39	6.71076539764799	0	406944	0	406944	0	1.07573445378151	338.5	3.4225	3.4225	55.1740091079725	55.1740091079725	5.16411716945137	5.16411716945137	59.7692307692308	59.7692307692308	0	0	0	0	0	0	13.2257199521186	13.2257199521186	0	0
61	166.37	33559330	33559330	0	12.37	6.69713230892038	0	374112	0	482691.999999896	0	1	656	3.66	3.66	60.0160699534759	60.0160699534759	5.61731913813301	5.61731913813301	59.7692307692308	59.7692307692308	0	0	0	0	0	0	13.1567957865573	13.1567957865573	0	0
62	166.36	33505040.0000001	33505040.0000001	0	12.36	6.690303514377	0	333504	0	387793.999999944	0	1	380.5	3.8975	3.8975	67.3237261395209	67.3237261395209	6.30129323008185	6.30129323008185	59.7692307692308	59.7692307692308	0	0	0	0	0	0	13.0882308105611	13.0882308105611	0	0
63	166.33	33342170.0000001	33342170.0000001	0	12.33	6.66976795359073	0	298080	0	460949.999999993	0	1	536	4.135	4.135	75.3245167821886	75.3245167821886	7.05014257046839	7.05014257046839	59.7692307692308	59.7692307692308	0	0	0	0	0	0	13.0200231522591	13.0200231522591	0	0
64	166.3	33179300.0000001	33179300.0000001	0	12.3	6.64915831663328	0	281664	0	444533.999999993	0	1	664	4.3725	4.3725	79.7145959811505	79.7145959811505	7.46104045034232	7.46104045034232	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.9521709495354	12.9521709495354	0	0
65	166.27	33016430.0000001	33016430.0000001	0	12.27	6.62847420196749	0	281664	0	444533.999999993	0	1	68	4.61	4.61	79.7145959811505	79.7145959811505	7.46104045034232	7.46104045034232	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.8846723499782	12.8846723499782	0	0
66	166.23	32799270	32799270	0	12.23	6.60077882873818	0	265248	0	482408.000000093	0	1	363.5	4.8475	4.8475	84.6480726053911	84.6480726053911	7.92279865410943	7.92279865410943	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.8175255108293	12.8175255108293	0	0
67	166.19	32582080	32582080	0	12.19	6.5729433124874	0	249696	0	466885.999999948	0	1	659	5.085	5.085	89.9202708991525	89.9202708991525	8.41626016197784	8.41626016197784	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.750728598934	12.750728598934	0	0
68	166.15	32364800.0000001	32364800.0000001	0	12.15	6.54495449949445	0	235008	0	452287.999999966	0	1	254	5.3225	5.3225	95.5402878303495	95.5402878303495	8.94227642210145	8.94227642210145	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.6842797906905	12.6842797906905	0	0
69	166.12	32201840.0000001	32201840.0000001	0	12.12	6.52387358184766	0	221184	0	384144.000000015	0	1	729	5.56	5.56	82.602827193234	82.602827193234	7.53544363890482	7.53544363890482	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.6181772720008	12.6181772720008	0	0
70	166.1	32093200	32093200	0	12.1	6.50977687626775	0	221184	0	329824.000000063	0	1	711	5.5175	5.5175	82.602827193234	82.602827193234	7.53544363890482	7.53544363890482	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.6299807850326	12.6299807850326	0	0
71	166.09	32038880	32038880	0	12.09	6.50271564846763	0	207360	0	261679.999999955	0	1	630	5.475	5.475	88.1096823394495	88.1096823394495	8.03780654816514	8.03780654816514	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.6417953395101	12.6417953395101	0	0
72	166.07	31930240	31930240	0	12.07	6.48856736435684	0	195264	0	303904.00000006	0	1	98.5	5.4325	5.4325	93.5678042542827	93.5678042542827	8.53572376796298	8.53572376796298	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.6536209457619	12.6536209457619	0	0
73	166.06	31875920	31875920	0	12.06	6.48148027653518	0	207360	0	261679.999999955	0	1.06194690265487	268.5	5.39	5.39	88.1096823394495	88.1096823394495	8.03780654816514	8.03780654816514	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.6654576141264	12.6654576141264	0	0
74	166.05	31821600.0000001	31821600.0000001	0	12.05	6.47438453713124	0	221184	0	275503.999999952	0	1.06666666666667	152	5.3475	5.3475	82.602827193234	82.602827193234	7.53544363890482	7.53544363890482	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.6773053549513	12.6773053549513	0	0
75	166.03	31712960	31712960	0	12.03	6.46016704013037	0	281664	0	390304.000000063	0	1.2734375	322	5.305	5.305	64.8660238081837	64.8660238081837	5.9174035937412	5.9174035937412	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.6891641785943	12.6891641785943	0	0
76	166.03	31712960	31712960	0	12.03	6.46016704013037	0	265248	0	265248	0	1.14609375	18	5.2625	5.2625	68.8805334249768	68.8805334249768	6.28362726892389	6.28362726892389	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.7010340954226	12.7010340954226	0	0
77	166.03	31712960	31712960	0	12.03	6.46016704013037	0	249696	0	249696	0	1.031484375	252	5.22	5.22	73.1706704549062	73.1706704549062	6.67499505729977	6.67499505729977	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.7129151158133	12.7129151158133	0	0
78	166.02	31658640.0000001	31658640.0000001	0	12.02	6.45304525071342	0	354240	0	408559.999999952	0	1.41868512110727	172.5	5.1775	5.1775	51.5763994182144	51.5763994182144	4.70505749160886	4.70505749160886	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.724807250153	12.724807250153	0	0
79	166.03	31712960	31712960	0	12.03	6.46016704013037	0	419040	0	364720.000000048	0	1.27681660899654	316	5.135	5.135	43.6006675494183	43.6006675494183	3.97747128156625	3.97747128156625	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.7367105088382	12.7367105088382	0	0
80	166.04	31767280	31767280	0	12.04	6.46728013029316	0	333504	0	279184.000000045	0	1.14913494809689	188	5.0925	5.0925	54.7832221799686	54.7832221799686	4.99759992632029	4.99759992632029	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.7486249022749	12.7486249022749	0	0
81	166.05	31821600.0000001	31821600.0000001	0	12.05	6.47438453713124	0	298080	0	243759.999999892	0	1.0342214532872	499.5	5.05	5.05	61.2936920622258	61.2936920622258	5.59151759872357	5.59151759872357	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.760550440879	12.760550440879	0	0
82	166.05	31821600.0000001	31821600.0000001	0	12.05	6.47438453713124	0	281664	0	281664	0	1	644	5.0075	5.0075	64.8660238081837	64.8660238081837	5.9174035937412	5.9174035937412	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.7724871350762	12.7724871350762	0	0
83	166.04	31767280	31767280	0	12.04	6.46728013029316	0	249696	0	304016.000000108	0	1	465.5	4.965	4.965	73.1706704549062	73.1706704549062	6.67499505729977	6.67499505729977	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.7844349953017	12.7844349953017	0	0
84	166.02	31658640.0000001	31658640.0000001	0	12.02	6.45304525071342	0	249696	0	358335.999999907	0	1	593.5	4.9225	4.9225	73.1706704549062	73.1706704549062	6.67499505729977	6.67499505729977	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.7963940320007	12.7963940320007	0	0
85	166.01	31604320	31604320	0	12.01	6.44591474607383	0	249696	0	304016.000000108	0	1	628.5	4.88	4.88	86.7487011099046	86.7487011099046	7.70626739038454	7.70626739038454	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.8083642556281	12.8083642556281	0	0
86	165.99	31503600	31503600	0	11.99	6.43324484378191	0	249696	0	350415.999999914	0	1	558	5.03875	5.03875	86.7487011099046	86.7487011099046	7.70626739038454	7.70626739038454	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.7637090679771	12.7637090679771	0	0
87	166.01	31604320	31604320	0	12.01	6.44591474607383	0	249696	0	148976.000000086	0	1	335	5.1975	5.1975	86.7487011099046	86.7487011099046	7.70626739038454	7.70626739038454	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.7192095665437	12.7192095665437	0	0
88	165.99	31503600	31503600	0	11.99	6.43324484378191	0	298080	0	398799.999999914	0	1.19377162629758	409	5.35625	5.35625	72.6677525239491	72.6677525239491	6.45539500238009	6.45539500238009	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.6748652085421	12.6748652085421	0	0
89	165.99	31503600	31503600	0	11.99	6.43324484378191	0	298080	0	298080	0	1.07439446366782	622	5.515	5.515	72.6677525239491	72.6677525239491	6.45539500238009	6.45539500238009	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.630675453079	12.630675453079	0	0
90	166	31550000	31550000	0	12	6.43877551020408	0	281664	0	235264.000000041	0	1	740	5.67375	5.67375	76.9029896342406	76.9029896342406	6.83162968043292	6.83162968043292	59.7692307692308	59.7692307692308	0	0	0	0	0	0	12.5866397611468	12.5866397611468	0	0
91	166	31550000	31550000	0	12	6.43877551020408	0	281664	0	281664	0	1	938	5.8325	5.8325	76.9029896342406	76.9029896342406	6.83162968043292	6.83162968043292	53.9823529411765	53.9823529411765	0	0	0	0	0	0	12.5427575956171	12.5427575956171	0	0
92	166	31550000	31550000	0	12	6.43877551020408	0	249696	0	249696	0	1	840.5	5.99125	5.99125	86.7487011099046	86.7487011099046	7.70626739038454	7.70626739038454	53.9823529411765	53.9823529411765	0	0	0	0	0	0	12.4990284212342	12.4990284212342	0	0
93	166	31550000	31550000	0	12	6.43877551020408	0	235008	0	235008	0	1	826	6.15	6.15	92.1704949292737	92.1704949292737	8.18790910228357	8.18790910228357	53.9823529411765	53.9823529411765	0	0	0	0	0	0	12.4554517046086	12.4554517046086	0	0
94	165.99	31503600	31503600	0	11.99	6.43324484378191	0	281664	0	328063.999999959	0	1.19852941176471	496.5	6.13076923076923	6.13076923076923	76.9029896342406	76.9029896342406	6.83162968043292	6.83162968043292	53.9823529411765	53.9823529411765	0	0	0	0	0	0	12.4607224336746	12.4607224336746	0	0
95	166	31550000	31550000	0	12	6.43877551020408	0	354240	0	307840.000000041	0	1.25766871165644	225.5	6.11153846153846	6.11153846153846	61.1472551725913	61.1472551725913	5.43197872151496	5.43197872151496	53.9823529411765	53.9823529411765	0	0	0	0	0	0	12.4659953931363	12.4659953931363	0	0
96	166.04	31767280	31767280	0	12.04	6.46728013029316	0	817344	0	600064.00000003	0	2.30731707317073	576.5	6.09230769230769	6.09230769230769	26.5014530874867	26.5014530874867	2.35424024928238	2.35424024928238	53.9823529411765	53.9823529411765	0	0	0	0	0	0	12.4712705839373	12.4712705839373	0	0
97	166.15	32364800.0000001	32364800.0000001	0	12.15	6.54495449949445	0	683920.000000108	0	86400	0	2.07658536585366	995	6.07307692307692	6.07307692307692	56.3379204960954	56.3379204960954	5.00474444004749	5.00474444004749	53.9823529411765	53.9823529411765	0	0	0	0	0	0	12.4765480070221	12.4765480070221	0	0
